MONTH,Close
Dec-05,1420.49
Jan-06,1557.13
Feb-06,1605.73
Mar-06,1797.03
Apr-06,1920.62
May-06,1594.6
Jun-06,1585.17
Jul-06,1585.12
Aug-06,1738.53
Sep-06,1843.75
Oct-06,1930.0
Nov-06,2029.75
Dec-06,2044.94
Jan-07,2052.48
Feb-07,1870.12
Mar-07,1881.72
Apr-07,2073.07
May-07,2177.09
Jun-07,2304.71
Jul-07,2436.65
Aug-07,2377.59
Sep-07,2769.68
Oct-07,3583.07
Nov-07,3825.63
Dec-07,4070.19
Jan-08,3300.35
Feb-08,3216.73
Mar-08,2651.32
Apr-08,3028.16
May-08,2808.47
Jun-08,2170.72
Jul-08,2411.77
Aug-08,2420.12
Sep-08,2121.03
Oct-08,1542.47
Nov-08,1535.42
Dec-08,1637.27
Jan-09,1631.87
Feb-09,1579.37
Mar-09,1725.86
Apr-09,1835.1
May-09,2089.69
Jun-09,2129.66
Jul-09,2375.0
Aug-09,2375.44
Sep-09,2561.75
Oct-09,2444.19
Nov-09,2681.19
Dec-09,2760.61
Jan-10,2646.08
Feb-10,2675.55
Mar-10,2811.48
Apr-10,2879.24
May-10,2750.12
Jun-10,2826.5
Jul-10,2969.26
Aug-10,3087.03
Sep-10,3336.48
Oct-10,3495.16
Nov-10,3409.19
Dec-10,3287.1
Jan-11,3014.65
Feb-11,2940.76
Mar-11,3206.71
Apr-11,3231.19
May-11,3157.34
Jun-11,3186.05
Jul-11,3184.22
Aug-11,2947.67
Sep-11,2920.07
Oct-11,3068.91
Nov-11,2927.42
Dec-11,2793.33
Jan-12,2975.33
Feb-12,3099.79
Mar-12,3198.49
Apr-12,3204.4
May-12,3072.75
Jun-12,3236.3
Jul-12,3273.32
Aug-12,3363.94
Sep-12,3629.03
Oct-12,3602.41
Nov-12,3847.13
Dec-12,3863.64
Jan-13,3798.69
Feb-13,3682.01
Mar-13,3724.41
Apr-13,3976.86
May-13,4074.66
Jun-13,3966.77
Jul-13,4005.55
Aug-13,3769.29
Sep-13,4063.01
Oct-13,4297.87
Nov-13,4240.15
Dec-13,4367.5
Jan-14,4342.38
Feb-14,4479.09
Mar-14,4520.63
Apr-14,4661.28
May-14,4885.47
Jun-14,5383.77
Jul-14,5432.21
Aug-14,5791.98
Sep-14,5955.13
Oct-14,6304.43
Nov-14,6608.72
Dec-14,6523.25
Jan-15,7147.3
Feb-15,7199.22
Mar-15,7240.99
Apr-15,6978.46
May-15,7309.87
Jun-15,7275.69
Jul-15,7784.57
Aug-15,7423.38
Sep-15,7448.31
Oct-15,7457.37
Nov-15,7193.69
Dec-15,7271.69
Jan-16,6851.54
Feb-16,6303.02
Mar-16,6923.56
Apr-16,7130.6
May-16,7291.89
Jun-16,7500.17
Jul-16,8198.0
Aug-16,8467.46
Sep-16,8430.75
Oct-16,8584.59
Nov-16,8241.4
Dec-16,7950.03
Jan-17,8961.85
Feb-17,9283.76
Mar-17,9704.96
Apr-17,10215.5
May-17,10180.23
Jun-17,10061.85
Jul-17,10861.3
Aug-17,11280.84
Sep-17,11312.79
Oct-17,11987.32
Nov-17,11757.39
Dec-17,12517.94
Jan-18,12408.17
Feb-18,11989.73
Mar-18,11798.85
Apr-18,12777.55
May-18,12479.72
Jun-18,12419.59
Jul-18,12907.43
Aug-18,13608.11
Sep-18,12478.72
Oct-18,11760.68
Nov-18,12358.31
Dec-18,12262.32
Jan-19,12599.94
Feb-19,12542.85
Mar-19,13164.26
Apr-19,13503.43
May-19,13322.58
Jun-19,13242.39
Jul-19,12239.69
Aug-19,12156.58
Sep-19,12848.03
Oct-19,13162.14
Nov-19,13336.77
Dec-19,13685.95
Jan-20,13995.19
Feb-20,13598.81
Mar-20,11002.27
Apr-20,12533.46
May-20,12141.83
Jun-20,12952.24
Jul-20,13804.99
Aug-20,13915.67
Sep-20,14434.81
Oct-20,14363.76
Nov-20,15183.24
Dec-20,16301.35
Jan-21,15795.44
Feb-21,17052.89
Mar-21,17866.29
Apr-21,19578.57
May-21,20513.33
Jun-21,21420.53
Jul-21,22529.41
Aug-21,23369.67
Sep-21,23830.3
Oct-21,24574.67
Nov-21,24047.75
Dec-21,24845.49
Jan-22,24050.14
Feb-22,23381.0
Mar-22,24607.66
Apr-22,23560.41
May-22,21806.76
Jun-22,19871.86
Jul-22,21768.75
Aug-22,23684.74
Sep-22,19130.55
Oct-22,20019.85
Nov-22,20264.3
Dec-22,19444.95
Jan-23,18610.65
Feb-23,17890.95
Mar-23,18257.05
Apr-23,19315.75
May-23,20459.9
Jun-23,21312.9
Jul-23,22275.85
Aug-23,22211.65
Sep-23,23085.3
