STOCKS - MOMENTUM & VALUE (India),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,,
Asset Name,Qty,Avg Price,Invested,Curr Price,Today Gain,Today %,Overall Gain,Overall %,Current Value
Adani Ports and Special Economic Zone,43,1446.32,62191.7,1376.3,374.1,0.00636150921322024,-3010.8,-0.0484116047639797,59180.9
Aditya Birla Capital,192,225.69,43331.68,355.75,76.8,0.00112565076684958,24972.32,0.576306295994063,68304
Aditya Birla Fashion - Rights Entitlement,2,0,0,10.15,0,0,20.3,0,20.3
Arvind Fashions - Rights Entitlement,1,0,0,38.15,0,0,38.15,0,38.15
Asian Paints,14,2834.9,39688.6,2670.2,-75.6,-0.00201823889968605,-2305.8,-0.0580972873822711,37382.8
Bank Of Baroda,136,301.5,41004,303.65,217.6,0.00529713623572256,292.399999999994,0.00713101160862341,41296.4
Bank of India,489,125.98,61606.49,161.84,1022.01,0.0130829420970266,17533.27,0.284601021743001,79139.76
Bharat Electronics,97,418.7,40614.05,407,-227.95,-0.00574080859899841,-1135.05,-0.0279472251597662,39479
Bharat Petroleum Corporation,312,330.5,103115.85,357.3,655.2,0.00591216216216216,8361.75,0.0810908313319436,111477.6
Bharti Airtel,20,2023.8,40476,1982.8,-264,-0.00661322645290581,-820,-0.0202589188655005,39656
Canara Bank,718,151.32,108646.89,155.24,1120.08,0.0101509630400833,2815.43000000001,0.025913581143464,111462.32
IIFL Finance,118,439.28,51834.89,625,-660.8,-0.00888043133523628,21915.11,0.422786852639217,73750
Indian Bank,82,643.15,52738.5,852,442.8,0.00637845499645641,17125.5,0.324724821525072,69864
Indian Oil Corporation,259,156.99,40660.41,159.16,189.07,0.00460771318563403,562.029999999999,0.0138225364672909,41222.44
Karur Vysya Bank,216,213.12,46032.97,258.05,-226.8,-0.00405248938633732,9705.83,0.210845183354452,55738.8
Kirloskar Oil Engines,59,1156.4,68227.5,1092,-413,-0.00636942675159236,-3799.5,-0.0556886885786523,64428
Larsen & Toubro,10,4025,40250,3793,-175,-0.00459257315312951,-2320,-0.057639751552795,37930
Mahindra & Mahindra,20,2969.67,59393.3,3569.4,238,0.00334504567814476,11994.7,0.201953755726656,71388
MindTree,30,2310.12,69303.7,3433.85,0,0,33711.8,0.486435789142571,103015.5
Muthoot Finance,18,2727.44,49093.85,3988.7,1049.4,0.014833095868105,22702.75,0.462435722600692,71796.6
Narayana Hrudayalaya,35,1768.52,61898.1,1806.1,-465.5,-0.00731010223150489,1315.4,0.0212510561713526,63213.5
National Aluminium,254,265.95,67551.3,360,266.7,0.0029251984956122,23888.7,0.353637901861252,91440
Punjab National Bank,332,123,40835.35,126.32,182.6,0.00437306193845909,1102.89,0.027008217145194,41938.24
SBI Life Insurance Company,20,2086.4,41728,2058.4,186,0.00453857791225416,-560,-0.013420245398773,41168
Shriram Finance,42,977.85,41069.7,985.6,-79.8,-0.00192405063291139,325.500000000007,0.00792555095362292,41395.2
South Indian Bank,1695,40.09,67949.55,43.9,779.7,0.0105893186003683,6460.95,0.0950845149084872,74410.5
State Bank Of India,41,1004.8,41196.8,1035.75,-26.65,-0.000627170976456966,1268.95,0.0308021496815286,42465.75
Tata Coffee,187,268.3,50172.65,344.8,0,0,14304.95,0.285114499632768,64477.6
Tata Consumer Products Rights Entitlement,3,0,0,345.9,0,0,1037.7,0,1037.7
TVS Motor Company,11,3748,41228,3596.4,-212.3,-0.00533783223165639,-1667.6,-0.0404482390608324,39560.4
Union Bank of India,407,117.1,47658.45,176.98,508.75,0.00711318499971547,24372.41,0.511397454176542,72030.86
Vedanta Limited,61,667.95,40744.95,672.7,54.9,0.00133968442988985,289.750000000007,0.00711131072685099,41034.7
Zerodha Nifty 100 ETF,10,476.85,4768.5,10.79,0.2,0.00185701021355617,-4660.6,-0.977372339310056,107.9
TOTAL,,,1565011.73,,4536.51,,225839.19,0.144305110096523,1790850.92
