"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ABCAPITAL",192,225.69,336.5,43331.68,64608,21276.32,49.1,-0.5,""
"ABSLAMC",112,964.56,1054.8,108030.5,118137.6,10107.1,9.36,0.48,""
"ADANIPORTS",43,1446.32,1559.6,62191.7,67062.8,4871.1,7.83,0.63,""
"AIAENG",19,3895.65,3942.2,74017.3,74901.8,884.5,1.19,0.43,""
"ANANDRATHI",31,3352.96,3687,103941.9,114297,10355.1,9.96,1.49,""
"AUBANK",113,924.28,988.9,104443.25,111745.7,7302.45,6.99,0.5,""
"BANKINDIA",489,125.98,147.3,61606.49,72029.7,10423.21,16.92,-1.07,""
"BHARATFORG",62,1713.48,1869.3,106236,115896.6,9660.6,9.09,0.73,""
"BSE",34,3010.36,3465.2,102352.3,117816.8,15464.5,15.11,0.54,""
"CANBK",447,146.77,141.7,65604.6,63339.9,-2264.7,-3.45,0.46,""
"CCL",102,1083.1,1089.3,110476.4,111108.6,632.2,0.57,1.71,""
"EMBASSY-RR",2100,451.4,440.57,947940,925197,-22743,-2.4,-0.43,""
"FEDERALBNK",381,273.77,289.45,104306.4,110280.45,5974.05,5.73,1.78,""
"GESHIP",81,1366.64,1399,110698,113319,2621,2.37,1.27,""
"GOLDBEES",13212,122.57,124.32,1619435.68,1642515.84,23080.16,1.43,-1.03,""
"GOLDCASE",25400,18.73,23.66,475839.64,600964,125124.36,26.3,-1,""
"GVT&D",27,3787.9,4127.7,102273.2,111447.9,9174.7,8.97,1.31,""
"INDIANB",199,797.29,932.95,158660.15,185657.05,26996.9,17.02,-0.82,""
"INDUSTOWER",170,435.6,410.65,74052,69810.5,-4241.5,-5.73,-0.61,""
"JBCHEPHARM",55,2051.47,1983.9,112830.8,109114.5,-3716.3,-3.29,0.45,""
"KARURVYSYA",662,234.87,277.95,155483.14,184002.9,28519.76,18.34,-1.03,""
"KIRLOSENG",120,1349.21,1597.2,161904.6,191664,29759.4,18.38,-1.22,""
"LAURUSLABS",101,1041.92,1139.1,105234.2,115049.1,9814.9,9.33,0.84,""
"LUPIN",32,2308.3,2305.5,73865.6,73776,-89.6,-0.12,-0.92,""
"M&M",20,2969.67,3213.9,59393.3,64278,4884.7,8.22,-0.26,""
"MON100",0,242.99,286.78,0,0,0,18.02,3.34,""
"NATIONALUM",445,347.41,431.6,154595.8,192062,37466.2,24.23,-0.27,""
"NH",35,1768.52,1799.5,61898.1,62982.5,1084.4,1.75,1,""
"SGBDE31III-GB",200,8534.31,15699.97,1706861.27,3139994,1433132.73,83.96,0.77,""
"SGBJAN29X-GB",51,14092.11,15099,718697.61,770049,51351.39,7.15,0.1,""
"SOUTHBANK",1695,40.09,38.73,67949.55,65647.35,-2302.2,-3.39,-0.13,""
"UNIONBANK",407,163.13,187.03,66394.05,76121.21,9727.16,14.65,-0.77,""
"HDFC Liquid Fund",599.843,5334.47,5437.2384,3199843.89,3261489.39,61645.51,1.93,0.02,""
"HDFC Multi-Asset Allocation Fund",12067.655,82.86,83.881,999950.03,1012246.97,12296.94,1.23,0,""
"ICICI Prudential Commodities Fund",1966.47,50.85,51.31,99995,100899.58,904.58,0.9,0.9,""
"ICICI Prudential Nifty Alpha Low - Volatility 30 ETF FOF",226353.945,11.19,14.426,2531768.87,3265382.01,733613.14,28.98,-0.41,""
"Nippon India Taiwan Equity fund",1550.166,32.25,32.253,49992.85,49997.5,4.65,0.01,2.25,""
"Parag Parikh Flexi Cap Fund",10919.715,91.57,91.4449,999951.06,998552.25,-1398.82,-0.14,-0.14,""
"Tata Arbitrage Fund",166788.435,15.55,15.9282,2593226.59,2656639.55,63412.96,2.45,0.02,""
"Tata Nifty Midcap 150 Momentum 50 Index Fund",65798.085,15.4,17.9701,1013487.9,1182398.17,168910.26,16.67,-0.04,""
